country,page_num,plot_num,region,plot_name,asterisk,headline
Mozambique,1,1,Mozambique,Retail & recreation,False,-26%
Mozambique,1,2,Mozambique,Grocery & pharmacy,False,-13%
Mozambique,1,3,Mozambique,Parks,False,-22%
Mozambique,2,4,Mozambique,Transit stations,False,-29%
Mozambique,2,5,Mozambique,Workplaces,False,+1%
Mozambique,2,6,Mozambique,Residential,False,+10%
